example_id                                               | status  | run_time        |
./spec/system/follows_spec.rb[1:1:1:1]                   | passed  | 0.66368 seconds |
./spec/system/follows_spec.rb[1:1:2:1]                   | passed  | 0.95666 seconds |
./spec/system/follows_spec.rb[1:1:2:2]                   | passed  | 0.98343 seconds |
./spec/system/follows_spec.rb[1:2:1:1]                   | passed  | 0.57112 seconds |
./spec/system/follows_spec.rb[1:2:2:1]                   | passed  | 0.91122 seconds |
./spec/system/follows_spec.rb[1:2:2:2]                   | passed  | 0.88744 seconds |
./spec/system/follows_spec.rb[1:3:1:1]                   | passed  | 1.19 seconds    |
./spec/system/follows_spec.rb[1:3:2:1]                   | passed  | 1.34 seconds    |
./spec/system/likes_spec.rb[1:1:1]                       | passed  | 0.93868 seconds |
./spec/system/likes_spec.rb[1:1:2]                       | passed  | 0.76597 seconds |
./spec/system/likes_spec.rb[1:2:1]                       | passed  | 3.7 seconds     |
./spec/system/likes_spec.rb[1:2:2]                       | passed  | 1.23 seconds    |
./spec/system/lists_spec.rb[1:1:1]                       | passed  | 0.75965 seconds |
./spec/system/lists_spec.rb[1:1:2]                       | passed  | 0.68318 seconds |
./spec/system/lists_spec.rb[1:2:1]                       | passed  | 0.59886 seconds |
./spec/system/lists_spec.rb[1:2:2]                       | passed  | 0.84436 seconds |
./spec/system/lists_spec.rb[1:3:1]                       | passed  | 0.93965 seconds |
./spec/system/lists_spec.rb[1:3:2]                       | passed  | 0.88272 seconds |
./spec/system/password_resets_spec.rb[1:1:1:1]           | passed  | 0.3599 seconds  |
./spec/system/password_resets_spec.rb[1:1:1:2]           | passed  | 0.33052 seconds |
./spec/system/password_resets_spec.rb[1:1:2:1]           | passed  | 0.32992 seconds |
./spec/system/password_resets_spec.rb[1:1:2:2]           | passed  | 0.25602 seconds |
./spec/system/password_resets_spec.rb[1:2:1:1:1]         | passed  | 0.26019 seconds |
./spec/system/password_resets_spec.rb[1:2:1:2:1:1]       | passed  | 0.39344 seconds |
./spec/system/password_resets_spec.rb[1:2:1:2:1:2]       | passed  | 0.40721 seconds |
./spec/system/password_resets_spec.rb[1:2:1:2:1:3]       | passed  | 0.51484 seconds |
./spec/system/password_resets_spec.rb[1:2:1:2:2:1]       | passed  | 0.27374 seconds |
./spec/system/password_resets_spec.rb[1:2:1:2:2:2]       | passed  | 0.27947 seconds |
./spec/system/password_resets_spec.rb[1:2:2:1:1]         | passed  | 0.22601 seconds |
./spec/system/password_resets_spec.rb[1:2:2:2:1]         | passed  | 0.21344 seconds |
./spec/system/password_resets_spec.rb[1:2:2:3:1]         | passed  | 0.23312 seconds |
./spec/system/password_resets_spec.rb[1:2:2:4:1]         | passed  | 0.22195 seconds |
./spec/system/password_resets_spec.rb[1:2:2:4:2]         | passed  | 0.23221 seconds |
./spec/system/post_comments_spec.rb[1:1:1]               | passed  | 0.87191 seconds |
./spec/system/post_comments_spec.rb[1:1:2]               | passed  | 0.76845 seconds |
./spec/system/post_comments_spec.rb[1:2:1]               | passed  | 1.01 seconds    |
./spec/system/post_comments_spec.rb[1:2:2]               | passed  | 1.07 seconds    |
./spec/system/posts_spec.rb[1:1:1:1]                     | passed  | 0.71823 seconds |
./spec/system/posts_spec.rb[1:1:1:2]                     | passed  | 0.63992 seconds |
./spec/system/posts_spec.rb[1:1:1:3]                     | passed  | 0.75336 seconds |
./spec/system/posts_spec.rb[1:1:1:4]                     | passed  | 0.69957 seconds |
./spec/system/posts_spec.rb[1:1:2:1]                     | passed  | 0.67331 seconds |
./spec/system/posts_spec.rb[1:1:2:2]                     | passed  | 0.62447 seconds |
./spec/system/posts_spec.rb[1:1:2:3]                     | passed  | 0.55744 seconds |
./spec/system/posts_spec.rb[1:1:3:1]                     | passed  | 1.1 seconds     |
./spec/system/posts_spec.rb[1:1:3:2]                     | passed  | 1.23 seconds    |
./spec/system/posts_spec.rb[1:2:1]                       | passed  | 1.13 seconds    |
./spec/system/posts_spec.rb[1:2:2]                       | passed  | 0.98175 seconds |
./spec/system/posts_spec.rb[1:2:3]                       | passed  | 0.94553 seconds |
./spec/system/rws_search_spec.rb[1:1:1]                  | passed  | 1.03 seconds    |
./spec/system/rws_search_spec.rb[1:1:2:1]                | passed  | 1.64 seconds    |
./spec/system/rws_search_spec.rb[1:1:2:2]                | passed  | 1.69 seconds    |
./spec/system/searches_spec.rb[1:1:1]                    | passed  | 0.77053 seconds |
./spec/system/searches_spec.rb[1:2:1]                    | passed  | 0.84098 seconds |
./spec/system/static_pages_spec.rb[1:1:1:1:1]            | passed  | 1.99 seconds    |
./spec/system/static_pages_spec.rb[1:1:1:2:1]            | passed  | 2.02 seconds    |
./spec/system/static_pages_spec.rb[1:1:1:3:1]            | passed  | 1.94 seconds    |
./spec/system/static_pages_spec.rb[1:1:2:1]              | passed  | 1.25 seconds    |
./spec/system/users_session_spec.rb[1:1:1:1:1:1]         | passed  | 0.42068 seconds |
./spec/system/users_session_spec.rb[1:1:1:1:1:2]         | passed  | 0.40003 seconds |
./spec/system/users_session_spec.rb[1:1:1:1:2]           | passed  | 0.47966 seconds |
./spec/system/users_session_spec.rb[1:1:1:2:1]           | passed  | 0.52735 seconds |
./spec/system/users_session_spec.rb[1:1:1:2:2]           | passed  | 0.41527 seconds |
./spec/system/users_session_spec.rb[1:1:2:1]             | passed  | 0.32757 seconds |
./spec/system/users_session_spec.rb[1:1:2:2:1]           | passed  | 0.32741 seconds |
./spec/system/users_session_spec.rb[1:1:2:2:2]           | passed  | 0.252 seconds   |
./spec/system/users_session_spec.rb[1:1:2:3]             | passed  | 0.24547 seconds |
./spec/system/users_session_spec.rb[1:2:1]               | passed  | 0.38074 seconds |
./spec/system/users_session_spec.rb[1:2:2]               | passed  | 0.42145 seconds |
./spec/system/users_session_spec.rb[1:3:1:1]             | passed  | 0.49986 seconds |
./spec/system/users_session_spec.rb[1:3:1:2]             | passed  | 0.5021 seconds  |
./spec/system/users_session_spec.rb[1:3:2]               | passed  | 0.54909 seconds |
./spec/system/users_spec.rb[1:1:1:1]                     | passed  | 0.39007 seconds |
./spec/system/users_spec.rb[1:1:1:2]                     | passed  | 0.38152 seconds |
./spec/system/users_spec.rb[1:1:2:1]                     | passed  | 0.33972 seconds |
./spec/system/users_spec.rb[1:1:2:2]                     | passed  | 0.3171 seconds  |
./spec/system/users_spec.rb[1:2:1:1:1:1]                 | passed  | 1.41 seconds    |
./spec/system/users_spec.rb[1:2:1:1:1:2]                 | passed  | 1.21 seconds    |
./spec/system/users_spec.rb[1:2:1:1:1:3]                 | passed  | 1.46 seconds    |
./spec/system/users_spec.rb[1:2:1:1:2]                   | passed  | 1.39 seconds    |
./spec/system/users_spec.rb[1:2:1:1:3]                   | passed  | 1.3 seconds     |
./spec/system/users_spec.rb[1:2:1:2:1:1]                 | passed  | 0.67049 seconds |
